Character,Line,Line Number
MABEL CHILTERN,I have been obliged for the present to put Lord Goring into a class quite by himself.  But he is developing charmingly!,29
MABEL CHILTERN,"I hope to let you know very soon, Lord Caversham!",31
MABEL CHILTERN,You are very late!,115
MABEL CHILTERN,Awfully!,117
MABEL CHILTERN,How very selfish of you!,119
MABEL CHILTERN,"You are always telling me of your bad qualities, Lord Goring.",121
MABEL CHILTERN,Are the others very bad?,123
MABEL CHILTERN,"Well, I delight in your bad qualities.  I wouldn’t have you part with one of them.",125
MABEL CHILTERN,"Oh, I think Lady Markby brought her.  Why do you ask?",127
MABEL CHILTERN,What an absurd reason!,129
MABEL CHILTERN,What sort of a woman is she?,131
MABEL CHILTERN,I dislike her already.,133
MABEL CHILTERN,"Delighted, Vicomte, quite delighted!  Aren’t you coming to the music-room?",140
MABEL CHILTERN,The music is in German.  You would not understand it.,142
MABEL CHILTERN,"Why are you talking about Mrs. Cheveley?  Everybody is talking about Mrs. Cheveley!  Lord Goring says—what did you say, Lord Goring, about Mrs. Cheveley?  Oh! I remember, that she was a genius in the daytime and a beauty at night.",178
MABEL CHILTERN,"Is it morbid to have a desire for food?  I have a great desire for food.  Lord Goring, will you give me some supper?",185
MABEL CHILTERN,How horrid you have been!  You have never talked to me the whole evening!,187
MABEL CHILTERN,You might have followed us.  Pursuit would have been only polite.  I don’t think I like you at all this evening!,189
MABEL CHILTERN,"Well, I wish you’d show it in a more marked way!",191
MABEL CHILTERN,What a horrid woman!,290
MABEL CHILTERN,Lord Goring!,292
MABEL CHILTERN,"Lord Goring, you are always ordering me out of the room. I think it most courageous of you.  Especially as I am not going to bed for hours.  You can come and sit down if you like, and talk about anything in the world, except the Royal Academy, Mrs. Cheveley, or novels in Scotch dialect.  They are not improving subjects.  What is this?  Some one has dropped a diamond brooch!  Quite beautiful, isn’t it?  I wish it was mine, but Gertrude won’t let me wear anything but pearls, and I am thoroughly sick of pearls.  They make one look so plain, so good and so intellectual.  I wonder whom the brooch belongs to.",294
MABEL CHILTERN,It is a beautiful brooch.,296
MABEL CHILTERN,It isn’t a bracelet.  It’s a brooch.,298
MABEL CHILTERN,What are you doing?,300
MABEL CHILTERN,"Oh, pray do!  I have been waiting for it all the evening.",302
MABEL CHILTERN,That is a strange request.,304
MABEL CHILTERN,You did?,306
MABEL CHILTERN,"Then I shall certainly bid you good-night.  Good-night, Gertrude!",308
MABEL CHILTERN,"Dear Gertrude, don’t say such a dreadful thing to Lord Goring.  Seriousness would be very unbecoming to him.  Good afternoon Lord Goring!  Pray be as trivial as you can.",508
MABEL CHILTERN,Just when I have come in!  What dreadful manners you have!  I am sure you were very badly brought up.,510
MABEL CHILTERN,I wish I had brought you up!,512
MABEL CHILTERN,"It is too late now, I suppose?",514
MABEL CHILTERN,Will you ride to-morrow morning?,516
MABEL CHILTERN,Don’t forget.,518
MABEL CHILTERN,Tommy is the most useful person in London.,522
MABEL CHILTERN,I don’t want you to have any.  They would not be good for you.,527
MABEL CHILTERN,Sharp.,529
MABEL CHILTERN,Of course I shan’t bring Tommy Trafford.  Tommy Trafford is in great disgrace.,531
MABEL CHILTERN,"Gertrude, I wish you would speak to Tommy Trafford.",533
MABEL CHILTERN,"Well, Tommy has proposed to me again.  Tommy really does nothing but propose to me.  He proposed to me last night in the music-room, when I was quite unprotected, as there was an elaborate trio going on.  I didn’t dare to make the smallest repartee, I need hardly tell you.  If I had, it would have stopped the music at once.  Musical people are so absurdly unreasonable.  They always want one to be perfectly dumb at the very moment when one is longing to be absolutely deaf.  Then he proposed to me in broad daylight this morning, in front of that dreadful statue of Achilles.  Really, the things that go on in front of that work of art are quite appalling.  The police should interfere. At luncheon I saw by the glare in his eye that he was going to propose again, and I just managed to check him in time by assuring him that I was a bimetallist.  Fortunately I don’t know what bimetallism means.  And I don’t believe anybody else does either.  But the observation crushed Tommy for ten minutes.  He looked quite shocked.  And then Tommy is so annoying in the way he proposes.  If he proposed at the top of his voice, I should not mind so much.  That might produce some effect on the public. But he does it in a horrid confidential way.  When Tommy wants to be romantic he talks to one just like a doctor.  I am very fond of Tommy, but his methods of proposing are quite out of date.  I wish, Gertrude, you would speak to him, and tell him that once a week is quite often enough to propose to any one, and that it should always be done in a manner that attracts some attention.",535
MABEL CHILTERN,Oh! I wouldn’t marry a man with a future before him for anything under the sun.,537
MABEL CHILTERN,"I know, dear.  You married a man with a future, didn’t you?  But then Robert was a genius, and you have a noble, self-sacrificing character.  You can stand geniuses.  I have no character at all, and Robert is the only genius I could ever bear.  As a rule, I think they are quite impossible.  Geniuses talk so much, don’t they? Such a bad habit!  And they are always thinking about themselves, when I want them to be thinking about me.  I must go round now and rehearse at Lady Basildon’s.  You remember, we are having tableaux, don’t you?  The Triumph of something, I don’t know what!  I hope it will be triumph of me.  Only triumph I am really interested in at present.  Oh, Gertrude, do you know who is coming to see you?  That dreadful Mrs. Cheveley, in a most lovely gown.  Did you ask her?",539
MABEL CHILTERN,"I assure you she is coming upstairs, as large as life and not nearly so natural.",541
MABEL CHILTERN,Oh! I must shake hands with Lady Markby.  She is delightful.  I love being scolded by her.,543
MABEL CHILTERN,"Really?  I must tell my dressmaker.  It will be such a surprise to her.  Good-bye, Lady Markby!",549
MABEL CHILTERN,I am so sorry but I am obliged to.  I am just off to rehearsal.  I have got to stand on my head in some tableaux.,551
MABEL CHILTERN,"But it is for an excellent charity: in aid of the Undeserving, the only people I am really interested in.  I am the secretary, and Tommy Trafford is treasurer.",553
MABEL CHILTERN,Oh! Lord Goring is president.,555
MABEL CHILTERN,What a dreadful prospect!,558
MABEL CHILTERN,"Thank you so much, Lady Markby, for England . . . and myself.",560
MABEL CHILTERN,"Oh! . . . How do you do, Lord Caversham?  I hope Lady Caversham is quite well?",978
MABEL CHILTERN,And Lady Caversham’s bonnets . . . are they at all better?,981
MABEL CHILTERN,I hope an operation will not be necessary.,984
MABEL CHILTERN,"Oh, are you here?  Of course you understand that after your breaking your appointment I am never going to speak to you again.",987
MABEL CHILTERN,"Lord Goring, I never believe a single word that either you or I say to each other.",989
MABEL CHILTERN,Do you think you could possibly make your son behave a little better occasionally?  Just as a change.,991
MABEL CHILTERN,I am afraid that he has one of those terribly weak natures that are not susceptible to influence.,993
MABEL CHILTERN,"It is very good for you to be in the way, and to know what people say of you behind your back.",996
MABEL CHILTERN,Oh! I hope you are not going to leave me all alone with Lord Goring?  Especially at such an early hour in the day.,999
MABEL CHILTERN,People who don’t keep their appointments in the Park are horrid.,1001
MABEL CHILTERN,I am glad you admit it.  But I wish you wouldn’t look so pleased about it.,1003
MABEL CHILTERN,Then I suppose it is my duty to remain with you?,1005
MABEL CHILTERN,"Well, my duty is a thing I never do, on principle.  It always depresses me.  So I am afraid I must leave you.",1007
MABEL CHILTERN,Oh! is it a proposal?,1009
MABEL CHILTERN,I am so glad.  That makes the second to-day.,1011
MABEL CHILTERN,"Tommy Trafford, of course.  It is one of Tommy’s days for proposing.  He always proposes on Tuesdays and Thursdays, during the Season.",1013
MABEL CHILTERN,"I make it a rule never to accept Tommy.  That is why he goes on proposing.  Of course, as you didn’t turn up this morning, I very nearly said yes.  It would have been an excellent lesson both for him and for you if I had.  It would have taught you both better manners.",1015
MABEL CHILTERN,I know.  And I think you might have mentioned it before. I am sure I have given you heaps of opportunities.,1017
MABEL CHILTERN,Ah! that is the sort of thing a man always says to a girl before he has been married to her.  He never says it afterwards.,1019
MABEL CHILTERN,"You silly Arthur!  If you knew anything about . . . anything, which you don’t, you would know that I adore you.  Every one in London knows it except you.  It is a public scandal the way I adore you. I have been going about for the last six months telling the whole of society that I adore you.  I wonder you consent to have anything to say to me.  I have no character left at all.  At least, I feel so happy that I am quite sure I have no character left at all.",1021
MABEL CHILTERN,"But you never have been refused yet by anybody, have you, Arthur?  I can’t imagine any one refusing you.",1023
MABEL CHILTERN,"I am so glad, darling.  I was afraid you were.",1025
MABEL CHILTERN,"Dear, you look weeks younger than that.",1027
MABEL CHILTERN,"But so am I, Arthur.  So we’re sure to agree.  And now I must go and see Gertrude.",1029
MABEL CHILTERN,Yes.,1031
MABEL CHILTERN,Do you mean to say you didn’t come here expressly to propose to me?,1033
MABEL CHILTERN,Your first.,1035
MABEL CHILTERN,I am delighted to hear it.  Now don’t stir.  I’ll be back in five minutes.  And don’t fall into any temptations while I am away.,1037
MABEL CHILTERN,"How pale you are looking, Gertrude!  It is most becoming!",1040
MABEL CHILTERN,I shall be in the conservatory under the second palm tree on the left.,1043
MABEL CHILTERN,Yes; the usual palm tree.,1045
MABEL CHILTERN,"Lord Goring, I think your father’s conversation much more improving than yours.  I am only going to talk to Lord Caversham in the future, and always under the usual palm tree.",1181
MABEL CHILTERN,"You’ll stop to luncheon, Lord Caversham, won’t you?",1187
MABEL CHILTERN,"An ideal husband!  Oh, I don’t think I should like that. It sounds like something in the next world.",1191
MABEL CHILTERN,He can be what he chooses.  All I want is to be . . . to be . . . oh! a real wife to him.,1193
LADY MARKBY,"Good evening, dear Gertrude!  So kind of you to let me bring my friend, Mrs. Cheveley.  Two such charming women should know each other!",33
LADY MARKBY,"Ah, nowadays people marry as often as they can, don’t they?  It is most fashionable. Dear Duchess, and how is the Duke?  Brain still weak, I suppose?  Well, that is only to be expected, is it not?  His good father was just the same.  There is nothing like race, is there?",35
LADY MARKBY,"Oh! I have brought a much more charming person than Sir John.  Sir John’s temper since he has taken seriously to politics has become quite unbearable.  Really, now that the House of Commons is trying to become useful, it does a great deal of harm.",50
LADY MARKBY,"Her name is Mrs. Cheveley!  One of the Dorsetshire Cheveleys, I suppose.  But I really don’t know.  Families are so mixed nowadays.  Indeed, as a rule, everybody turns out to be somebody else.",52
LADY MARKBY,She has just arrived from Vienna.,54
LADY MARKBY,"Oh! she goes everywhere there, and has such pleasant scandals about all her friends.  I really must go to Vienna next winter. I hope there is a good chef at the Embassy.",56
LADY MARKBY,"Let me introduce you.  My dear, Sir Robert Chiltern is dying to know you!",58
LADY MARKBY,"Well, dear Mrs. Cheveley, I hope you have enjoyed yourself. Sir Robert is very entertaining, is he not?",272
LADY MARKBY,"He has had a very interesting and brilliant career.  And he has married a most admirable wife.  Lady Chiltern is a woman of the very highest principles, I am glad to say.  I am a little too old now, myself, to trouble about setting a good example, but I always admire people who do.  And Lady Chiltern has a very ennobling effect on life, though her dinner-parties are rather dull sometimes.  But one can’t have everything, can one?  And now I must go, dear.  Shall I call for you to-morrow?",274
LADY MARKBY,We might drive in the Park at five.  Everything looks so fresh in the Park now!,276
LADY MARKBY,"Perhaps the people are a little jaded.  I have often observed that the Season as it goes on produces a kind of softening of the brain.  However, I think anything is better than high intellectual pressure.  That is the most unbecoming thing there is.  It makes the noses of the young girls so particularly large.  And there is nothing so difficult to marry as a large nose; men don’t like them.  Good-night, dear!  Good-night, Gertrude!",278
LADY MARKBY,Going already?,550
LADY MARKBY,"On your head, child?  Oh! I hope not.  I believe it is most unhealthy.",552
LADY MARKBY,"You are remarkably modern, Mabel.  A little too modern, perhaps.  Nothing is so dangerous as being too modern. One is apt to grow old-fashioned quite suddenly.  I have known many instances of it.",557
LADY MARKBY,"Ah! my dear, you need not be nervous.  You will always be as pretty as possible.  That is the best fashion there is, and the only fashion that England succeeds in setting.",559
LADY MARKBY,"Dear Gertrude, we just called to know if Mrs. Cheveley’s diamond brooch has been found.",561
LADY MARKBY,"Ah yes, I suppose it must have been at the Opera.  The fact is, we all scramble and jostle so much nowadays that I wonder we have anything at all left on us at the end of an evening.  I know myself that, when I am coming back from the Drawing Room, I always feel as if I hadn’t a shred on me, except a small shred of decent reputation, just enough to prevent the lower classes making painful observations through the windows of the carriage.  The fact is that our Society is terribly over-populated.  Really, some one should arrange a proper scheme of assisted emigration.  It would do a great deal of good.",566
LADY MARKBY,"That is quite true, dear.  But one needn’t know them.  I’m sure I don’t know half the people who come to my house.  Indeed, from all I hear, I shouldn’t like to.",568
LADY MARKBY,"I thought you said there was a sapphire on the head, dear?",571
LADY MARKBY,"And very becoming, I am quite sure.",573
LADY MARKBY,"Well, I must say it is most annoying to lose anything.  I remember once at Bath, years ago, losing in the Pump Room an exceedingly handsome cameo bracelet that Sir John had given me.  I don’t think he has ever given me anything since, I am sorry to say.  He has sadly degenerated.  Really, this horrid House of Commons quite ruins our husbands for us.  I think the Lower House by far the greatest blow to a happy married life that there has been since that terrible thing called the Higher Education of Women was invented.",578
LADY MARKBY,"They do, dear.  But I am afraid such a scheme would be quite unpractical.  I don’t think man has much capacity for development. He has got as far as he can, and that is not far, is it?  With regard to women, well, dear Gertrude, you belong to the younger generation, and I am sure it is all right if you approve of it.  In my time, of course, we were taught not to understand anything.  That was the old system, and wonderfully interesting it was.  I assure you that the amount of things I and my poor dear sister were taught not to understand was quite extraordinary.  But modern women understand everything, I am told.",581
LADY MARKBY,"And a very good thing too, dear, I dare say.  It might break up many a happy home if they did.  Not yours, I need hardly say, Gertrude.  You have married a pattern husband.  I wish I could say as much for myself.  But since Sir John has taken to attending the debates regularly, which he never used to do in the good old days, his language has become quite impossible.  He always seems to think that he is addressing the House, and consequently whenever he discusses the state of the agricultural labourer, or the Welsh Church, or something quite improper of that kind, I am obliged to send all the servants out of the room.  It is not pleasant to see one’s own butler, who has been with one for twenty-three years, actually blushing at the side-board, and the footmen making contortions in corners like persons in circuses.  I assure you my life will be quite ruined unless they send John at once to the Upper House.  He won’t take any interest in politics then, will he?  The House of Lords is so sensible.  An assembly of gentlemen.  But in his present state, Sir John is really a great trial.  Why, this morning before breakfast was half over, he stood up on the hearthrug, put his hands in his pockets, and appealed to the country at the top of his voice.  I left the table as soon as I had my second cup of tea, I need hardly say.  But his violent language could be heard all over the house! I trust, Gertrude, that Sir Robert is not like that?",583
LADY MARKBY,"Well, I hope he is not as devoted to Blue Books as Sir John is.  I don’t think they can be quite improving reading for any one.",585
LADY MARKBY,"Yellow is a gayer colour, is it not?  I used to wear yellow a good deal in my early days, and would do so now if Sir John was not so painfully personal in his observations, and a man on the question of dress is always ridiculous, is he not?",587
LADY MARKBY,Really?  One wouldn’t say so from the sort of hats they wear? would one?,589
LADY MARKBY,"No thanks, dear.  The fact is, I have promised to go round for ten minutes to see poor Lady Brancaster, who is in very great trouble.  Her daughter, quite a well-brought-up girl, too, has actually become engaged to be married to a curate in Shropshire.  It is very sad, very sad indeed.  I can’t understand this modern mania for curates.  In my time we girls saw them, of course, running about the place like rabbits.  But we never took any notice of them, I need hardly say.  But I am told that nowadays country society is quite honeycombed with them.  I think it most irreligious.  And then the eldest son has quarrelled with his father, and it is said that when they meet at the club Lord Brancaster always hides himself behind the money article in _The Times_.  However, I believe that is quite a common occurrence nowadays and that they have to take in extra copies of _The Times_ at all the clubs in St. James’s Street; there are so many sons who won’t have anything to do with their fathers, and so many fathers who won’t speak to their sons.  I think myself, it is very much to be regretted.",593
LADY MARKBY,"Really, dear?  What?",595
LADY MARKBY,"Ah!  I am afraid Lord Brancaster knew a good deal about that.  More than his poor wife ever did. You know Lady Brancaster, don’t you, dear?",597
LADY MARKBY,"Well, like all stout women, she looks the very picture of happiness, as no doubt you noticed.  But there are many tragedies in her family, besides this affair of the curate.  Her own sister, Mrs. Jekyll, had a most unhappy life; through no fault of her own, I am sorry to say. She ultimately was so broken-hearted that she went into a convent, or on to the operatic stage, I forget which.  No; I think it was decorative art-needlework she took up.  I know she had lost all sense of pleasure in life.  And now, Gertrude, if you will allow me, I shall leave Mrs. Cheveley in your charge and call back for her in a quarter of an hour.  Or perhaps, dear Mrs. Cheveley, you wouldn’t mind waiting in the carriage while I am with Lady Brancaster.  As I intend it to be a visit of condolence, I shan’t stay long.",599
LADY MARKBY,"Well, I hear the curate is always prowling about the house.",601
LADY MARKBY,"Ah! no doubt you both have many pleasant reminiscences of your schooldays to talk over together.  Good-bye, dear Gertrude!  Shall I see you at Lady Bonar’s to-night?  She has discovered a wonderful new genius.  He does . . . nothing at all, I believe.  That is a great comfort, is it not?",604
LADY MARKBY,"Dining at home by yourselves?  Is that quite prudent?  Ah, I forgot, your husband is an exception.  Mine is the general rule, and nothing ages a woman so rapidly as having married the general rule.",606
MRS. CHEVELEY,"But have we really met before, Lady Chiltern?  I can’t remember where.  I have been out of England for so long.",36
MRS. CHEVELEY,"Do you know, I am quite looking forward to meeting your clever husband, Lady Chiltern.  Since he has been at the Foreign Office, he has been so much talked of in Vienna. They actually succeed in spelling his name right in the newspapers.  That in itself is fame, on the continent.",40
MRS. CHEVELEY,"Not since Berlin, Vicomte.  Five years ago!",43
MRS. CHEVELEY,By making it a rule only to talk to perfectly charming people like yourself.,45
MRS. CHEVELEY,Do they say that here?  How dreadful of them!,47
MRS. CHEVELEY,"Thank you, Sir Robert.  An acquaintance that begins with a compliment is sure to develop into a real friendship.  It starts in the right manner.  And I find that I know Lady Chiltern already.",60
MRS. CHEVELEY,Yes.  She has just reminded me that we were at school together.  I remember it perfectly now.  She always got the good conduct prize.  I have a distinct recollection of Lady Chiltern always getting the good conduct prize!,62
MRS. CHEVELEY,My prizes came a little later on in life.  I don’t think any of them were for good conduct.  I forget!,64
MRS. CHEVELEY,"I don’t know that women are always rewarded for being charming.  I think they are usually punished for it!  Certainly, more women grow old nowadays through the faithfulness of their admirers than through anything else!  At least that is the only way I can account for the terribly haggard look of most of your pretty women in London!",66
MRS. CHEVELEY,"Oh, I’m neither.  Optimism begins in a broad grin, and Pessimism ends with blue spectacles.  Besides, they are both of them merely poses.",68
MRS. CHEVELEY,Sometimes.  But it is such a very difficult pose to keep up.,70
MRS. CHEVELEY,"Ah! the strength of women comes from the fact that psychology cannot explain us.  Men can be analysed, women . . . merely adored.",72
MRS. CHEVELEY,"Science can never grapple with the irrational.  That is why it has no future before it, in this world.",74
MRS. CHEVELEY,Well-dressed women do.,76
MRS. CHEVELEY,Questions are never indiscreet.  Answers sometimes are.,78
MRS. CHEVELEY,"Politics are my only pleasure.  You see nowadays it is not fashionable to flirt till one is forty, or to be romantic till one is forty-five, so we poor women who are under thirty, or say we are, have nothing open to us but politics or philanthropy.  And philanthropy seems to me to have become simply the refuge of people who wish to annoy their fellow-creatures.  I prefer politics.  I think they are more . . . becoming!",80
MRS. CHEVELEY,"Sometimes.  And sometimes it is a clever game, Sir Robert.  And sometimes it is a great nuisance.",82
MRS. CHEVELEY,I?  A combination of all three.,84
MRS. CHEVELEY,Thanks.,86
MRS. CHEVELEY,"Oh! I don’t care about the London season!  It is too matrimonial.  People are either hunting for husbands, or hiding from them.  I wanted to meet you.  It is quite true.  You know what a woman’s curiosity is.  Almost as great as a man’s!  I wanted immensely to meet you, and . . . to ask you to do something for me.",88
MRS. CHEVELEY,"No, I don’t think it is quite a little thing.",90
MRS. CHEVELEY,Later on.  And now may I walk through your beautiful house?  I hear your pictures are charming.  Poor Baron Arnheim—you remember the Baron?—used to tell me you had some wonderful Corots.,92
MRS. CHEVELEY,Intimately.  Did you?,94
MRS. CHEVELEY,"Wonderful man, wasn’t he?",96
MRS. CHEVELEY,I often think it such a pity he never wrote his memoirs. They would have been most interesting.,98
MRS. CHEVELEY,Without the dreadful disadvantage of having a Penelope waiting at home for him.,100
MRS. CHEVELEY,I have met Lord Goring before.,103
MRS. CHEVELEY,My memory is under admirable control.  And are you still a bachelor?,105
MRS. CHEVELEY,How very romantic!,107
MRS. CHEVELEY,He reflects every credit on the institution.,110
MRS. CHEVELEY,"That depends partly on the weather, partly on the cooking, and partly on Sir Robert.",112
MRS. CHEVELEY,"There is no danger, at present!",114
MRS. CHEVELEY,"Oh, no!  I can’t stand your English house-parties.  In England people actually try to be brilliant at breakfast.  That is so dreadful of them!  Only dull people are brilliant at breakfast.  And then the family skeleton is always reading family prayers.  My stay in England really depends on you, Sir Robert.",207
MRS. CHEVELEY,"Quite seriously.  I want to talk to you about a great political and financial scheme, about this Argentine Canal Company, in fact.",209
MRS. CHEVELEY,"Oh, I like tedious, practical subjects.  What I don’t like are tedious, practical people.  There is a wide difference. Besides, you are interested, I know, in International Canal schemes.  You were Lord Radley’s secretary, weren’t you, when the Government bought the Suez Canal shares?",211
MRS. CHEVELEY,"A speculation, Sir Robert!  A brilliant, daring speculation.",213
MRS. CHEVELEY,I have invested very largely in it.,215
MRS. CHEVELEY,Your old friend—and mine.,217
MRS. CHEVELEY,Baron Arnheim.,219
MRS. CHEVELEY,"It was his last romance.  His last but one, to do him justice.",221
MRS. CHEVELEY,"I am not in a mood to-night for silver twilights, or rose-pink dawns.  I want to talk business.",223
MRS. CHEVELEY,"That you must not do.  In your own interests, Sir Robert, to say nothing of mine, you must not do that.",225
MRS. CHEVELEY,"Sir Robert, I will be quite frank with you.  I want you to withdraw the report that you had intended to lay before the House, on the ground that you have reasons to believe that the Commissioners have been prejudiced or misinformed, or something.  Then I want you to say a few words to the effect that the Government is going to reconsider the question, and that you have reason to believe that the Canal, if completed, will be of great international value.  You know the sort of things ministers say in cases of this kind.  A few ordinary platitudes will do.  In modern life nothing produces such an effect as a good platitude.  It makes the whole world kin.  Will you do that for me?",227
MRS. CHEVELEY,I am quite serious.,229
MRS. CHEVELEY,"Ah! but I am.  And if you do what I ask you, I . . . will pay you very handsomely!",231
MRS. CHEVELEY,Yes.,233
MRS. CHEVELEY,How very disappointing!  And I have come all the way from Vienna in order that you should thoroughly understand me.,235
MRS. CHEVELEY,"My dear Sir Robert, you are a man of the world, and you have your price, I suppose. Everybody has nowadays.  The drawback is that most people are so dreadfully expensive.  I know I am.  I hope you will be more reasonable in your terms.",237
MRS. CHEVELEY,I realise that I am talking to a man who laid the foundation of his fortune by selling to a Stock Exchange speculator a Cabinet secret.,239
MRS. CHEVELEY,"I mean that I know the real origin of your wealth and your career, and I have got your letter, too.",241
MRS. CHEVELEY,"The letter you wrote to Baron Arnheim, when you were Lord Radley’s secretary, telling the Baron to buy Suez Canal shares—a letter written three days before the Government announced its own purchase.",243
MRS. CHEVELEY,You thought that letter had been destroyed.  How foolish of you!  It is in my possession.,245
MRS. CHEVELEY,"It was a swindle, Sir Robert.  Let us call things by their proper names.  It makes everything simpler.  And now I am going to sell you that letter, and the price I ask for it is your public support of the Argentine scheme.  You made your own fortune out of one canal. You must help me and my friends to make our fortunes out of another!",247
MRS. CHEVELEY,"Oh, no!  This is the game of life as we all have to play it, Sir Robert, sooner or later!",249
MRS. CHEVELEY,You mean you cannot help doing it.  You know you are standing on the edge of a precipice.  And it is not for you to make terms.  It is for you to accept them.  Supposing you refuse—,251
MRS. CHEVELEY,"My dear Sir Robert, what then?  You are ruined, that is all!  Remember to what a point your Puritanism in England has brought you.  In old days nobody pretended to be a bit better than his neighbours.  In fact, to be a bit better than one’s neighbour was considered excessively vulgar and middle-class.  Nowadays, with our modern mania for morality, every one has to pose as a paragon of purity, incorruptibility, and all the other seven deadly virtues—and what is the result?  You all go over like ninepins—one after the other.  Not a year passes in England without somebody disappearing.  Scandals used to lend charm, or at least interest, to a man—now they crush him.  And yours is a very nasty scandal. You couldn’t survive it.  If it were known that as a young man, secretary to a great and important minister, you sold a Cabinet secret for a large sum of money, and that that was the origin of your wealth and career, you would be hounded out of public life, you would disappear completely.  And after all, Sir Robert, why should you sacrifice your entire future rather than deal diplomatically with your enemy?  For the moment I am your enemy.  I admit it!  And I am much stronger than you are.  The big battalions are on my side.  You have a splendid position, but it is your splendid position that makes you so vulnerable.  You can’t defend it!  And I am in attack.  Of course I have not talked morality to you.  You must admit in fairness that I have spared you that.  Years ago you did a clever, unscrupulous thing; it turned out a great success.  You owe to it your fortune and position. And now you have got to pay for it.  Sooner or later we have all to pay for what we do.  You have to pay now.  Before I leave you to-night, you have got to promise me to suppress your report, and to speak in the House in favour of this scheme.",253
MRS. CHEVELEY,"You must make it possible.  You are going to make it possible.  Sir Robert, you know what your English newspapers are like. Suppose that when I leave this house I drive down to some newspaper office, and give them this scandal and the proofs of it!  Think of their loathsome joy, of the delight they would have in dragging you down, of the mud and mire they would plunge you in.  Think of the hypocrite with his greasy smile penning his leading article, and arranging the foulness of the public placard.",255
MRS. CHEVELEY,Those are my terms.,257
MRS. CHEVELEY,"Even you are not rich enough, Sir Robert, to buy back your past.  No man is.",259
MRS. CHEVELEY,You have to.  If you don’t . . .,261
MRS. CHEVELEY,"Yes.  That is agreed.  I will be in the Ladies’ Gallery to-morrow night at half-past eleven.  If by that time—and you will have had heaps of opportunity—you have made an announcement to the House in the terms I wish, I shall hand you back your letter with the prettiest thanks, and the best, or at any rate the most suitable, compliment I can think of.  I intend to play quite fairly with you.  One should always play fairly . . . when one has the winning cards.  The Baron taught me that . . . amongst other things.",263
MRS. CHEVELEY,No; you must settle now!,265
MRS. CHEVELEY,Impossible!  I have got to telegraph to Vienna to-night.,267
MRS. CHEVELEY,Circumstances.,269
MRS. CHEVELEY,"Thank you.  I knew we should come to an amicable agreement.  I understood your nature from the first.  I analysed you, though you did not adore me.  And now you can get my carriage for me, Sir Robert.  I see the people coming up from supper, and Englishmen always get romantic after a meal, and that bores me dreadfully.",271
MRS. CHEVELEY,Most entertaining!  I have enjoyed my talk with him immensely.,273
MRS. CHEVELEY,Thanks.,275
MRS. CHEVELEY,Except the people!,277
MRS. CHEVELEY,"What a charming house you have, Lady Chiltern!  I have spent a delightful evening.  It has been so interesting getting to know your husband.",279
MRS. CHEVELEY,"Oh, I will tell you.  I wanted to interest him in this Argentine Canal scheme, of which I dare say you have heard.  And I found him most susceptible,—susceptible to reason, I mean.  A rare thing in a man.  I converted him in ten minutes.  He is going to make a speech in the House to-morrow night in favour of the idea.  We must go to the Ladies’ Gallery and hear him!  It will be a great occasion!",281
MRS. CHEVELEY,"Oh, I assure you it’s all settled.  I don’t regret my tedious journey from Vienna now.  It has been a great success.  But, of course, for the next twenty-four hours the whole thing is a dead secret.",283
MRS. CHEVELEY,Between your husband and myself.,285
MRS. CHEVELEY,"Thanks!  Good evening, Lady Chiltern!  Good-night, Lord Goring!  I am at Claridge’s.  Don’t you think you might leave a card?",287
MRS. CHEVELEY,"Oh, don’t be so solemn about it, or I shall be obliged to leave a card on you.  In England I suppose that would hardly be considered _en règle_.  Abroad, we are more civilised.  Will you see me down, Sir Robert?  Now that we have both the same interests at heart we shall be great friends, I hope!",289
MRS. CHEVELEY,Thanks.  Isn’t that Miss Chiltern?  I should like so much to know her.,546
MRS. CHEVELEY,And what is Lord Goring?,554
MRS. CHEVELEY,"The post should suit him admirably, unless he has deteriorated since I knew him first.",556
MRS. CHEVELEY,"Yes.  I missed it when I got back to Claridge’s, and I thought I might possibly have dropped it here.",563
MRS. CHEVELEY,"Oh, pray don’t trouble, Lady Chiltern.  I dare say I lost it at the Opera, before we came on here.",565
MRS. CHEVELEY,"I quite agree with you, Lady Markby.  It is nearly six years since I have been in London for the Season, and I must say Society has become dreadfully mixed.  One sees the oddest people everywhere.",567
MRS. CHEVELEY,"A diamond snake-brooch with a ruby, a rather large ruby.",570
MRS. CHEVELEY,"It really is of no consequence, Lady Chiltern.  I am so sorry to have put you to any inconvenience.",576
MRS. CHEVELEY,The higher education of men is what I should like to see. Men need it so sadly.,580
MRS. CHEVELEY,Except their husbands.  That is the one thing the modern woman never understands.,582
MRS. CHEVELEY,"Oh, no!  I think men are the only authorities on dress.",588
MRS. CHEVELEY,Thanks.,591
MRS. CHEVELEY,So do I.  Fathers have so much to learn from their sons nowadays.,594
MRS. CHEVELEY,The art of living.  The only really Fine Art we have produced in modern times.,596
MRS. CHEVELEY,I am afraid I am not fond of girl friends.,602
MRS. CHEVELEY,"How very kind of you, Lady Chiltern!  Believe me, nothing would give me greater pleasure.",603
MRS. CHEVELEY,"Wonderful woman, Lady Markby, isn’t she?  Talks more and says less than anybody I ever met.  She is made to be a public speaker. Much more so than her husband, though he is a typical Englishman, always dull and usually violent.",607
MRS. CHEVELEY,"I see that after all these years you have not changed a bit, Gertrude.",611
